N = 5	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.996252	MeanO1 = 0.000600	MeanV2 = 4.996871	MeanO2 = 0.000400	 rate = 0.000000
N = 5	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.996252	MeanO1 = 0.000600	MeanV2 = 4.996871	MeanO2 = 0.000400	 rate = 0.000000
N = 25	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.989995	MeanO1 = 0.002600	MeanV2 = 4.990626	MeanO2 = 0.002400	 rate = 0.000000
N = 25	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.988685	MeanO1 = 0.002400	MeanV2 = 4.990223	MeanO2 = 0.002600	 rate = 0.000750
N = 45	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.984367	MeanO1 = 0.004400	MeanV2 = 4.983757	MeanO2 = 0.004600	 rate = 0.000000
N = 45	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.983757	MeanO1 = 0.004600	MeanV2 = 4.984367	MeanO2 = 0.004400	 rate = 0.000000
N = 65	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.975002	MeanO1 = 0.007400	MeanV2 = 4.980634	MeanO2 = 0.005600	 rate = 0.000000
N = 65	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.978128	MeanO1 = 0.006400	MeanV2 = 4.977489	MeanO2 = 0.006600	 rate = 0.000000
N = 85	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.976255	MeanO1 = 0.007000	MeanV2 = 4.966867	MeanO2 = 0.010000	 rate = 0.000000
N = 85	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.973291	MeanO1 = 0.008398	MeanV2 = 4.971740	MeanO2 = 0.008602	 rate = 0.000625
N = 105	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.960621	MeanO1 = 0.012000	MeanV2 = 4.970004	MeanO2 = 0.009000	 rate = 0.000000
N = 105	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.964637	MeanO1 = 0.010400	MeanV2 = 4.964994	MeanO2 = 0.010600	 rate = 0.000125
N = 125	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.961252	MeanO1 = 0.011800	MeanV2 = 4.956876	MeanO2 = 0.013200	 rate = 0.000000
N = 125	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.959369	MeanO1 = 0.012400	MeanV2 = 4.958753	MeanO2 = 0.012600	 rate = 0.000000
N = 145	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.948744	MeanO1 = 0.015800	MeanV2 = 4.956876	MeanO2 = 0.013200	 rate = 0.000000
N = 145	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.952360	MeanO1 = 0.014596	MeanV2 = 4.952560	MeanO2 = 0.014404	 rate = 0.001125
