occ = 0.000500	 sto = 0.200000	 rate = 0.001375
occ = 0.000498	 sto = 0.500000	 rate = 0.016375
occ = 0.002498	 sto = 0.200000	 rate = 0.024750
occ = 0.002497	 sto = 0.500000	 rate = 0.034750
occ = 0.004495	 sto = 0.200000	 rate = 0.047125
occ = 0.004494	 sto = 0.500000	 rate = 0.062625
occ = 0.006493	 sto = 0.200000	 rate = 0.070750
occ = 0.006489	 sto = 0.500000	 rate = 0.106125
occ = 0.008491	 sto = 0.200000	 rate = 0.094500
occ = 0.008486	 sto = 0.500000	 rate = 0.141250
occ = 0.010488	 sto = 0.200000	 rate = 0.116625
occ = 0.010482	 sto = 0.500000	 rate = 0.179375
occ = 0.012487	 sto = 0.200000	 rate = 0.134000
occ = 0.012478	 sto = 0.500000	 rate = 0.221375
occ = 0.014484	 sto = 0.200000	 rate = 0.160250
occ = 0.014473	 sto = 0.500000	 rate = 0.269250
occ = 0.016482	 sto = 0.200000	 rate = 0.184875
occ = 0.016469	 sto = 0.500000	 rate = 0.312250
occ = 0.018478	 sto = 0.200000	 rate = 0.214875
occ = 0.018462	 sto = 0.500000	 rate = 0.379000
occ = 0.020477	 sto = 0.200000	 rate = 0.231000
occ = 0.020459	 sto = 0.500000	 rate = 0.411875
occ = 0.022476	 sto = 0.200000	 rate = 0.243500
occ = 0.022454	 sto = 0.500000	 rate = 0.459000
occ = 0.024473	 sto = 0.200000	 rate = 0.266750
occ = 0.024451	 sto = 0.500000	 rate = 0.486125
occ = 0.026471	 sto = 0.200000	 rate = 0.295500
occ = 0.026444	 sto = 0.500000	 rate = 0.563125
occ = 0.028469	 sto = 0.200000	 rate = 0.308250
occ = 0.028442	 sto = 0.500000	 rate = 0.580500
occ = 0.030466	 sto = 0.200000	 rate = 0.345625
occ = 0.030437	 sto = 0.500000	 rate = 0.627500
occ = 0.032464	 sto = 0.200000	 rate = 0.356500
occ = 0.032434	 sto = 0.500000	 rate = 0.660000
occ = 0.034462	 sto = 0.200000	 rate = 0.379625
occ = 0.034428	 sto = 0.500000	 rate = 0.718250
occ = 0.036461	 sto = 0.200000	 rate = 0.394000
occ = 0.036428	 sto = 0.500000	 rate = 0.722000
occ = 0.038458	 sto = 0.200000	 rate = 0.416625
occ = 0.038420	 sto = 0.500000	 rate = 0.805000
occ = 0.040454	 sto = 0.200000	 rate = 0.461250
occ = 0.040415	 sto = 0.500000	 rate = 0.854125
occ = 0.042454	 sto = 0.200000	 rate = 0.457375
occ = 0.042416	 sto = 0.500000	 rate = 0.838875
occ = 0.044450	 sto = 0.200000	 rate = 0.499250
occ = 0.044408	 sto = 0.500000	 rate = 0.919500
occ = 0.046448	 sto = 0.200000	 rate = 0.519125
occ = 0.046400	 sto = 0.500000	 rate = 1.000875
occ = 0.048445	 sto = 0.200000	 rate = 0.554875
occ = 0.048398	 sto = 0.500000	 rate = 1.015750
occ = 0.050444	 sto = 0.200000	 rate = 0.558875
occ = 0.050396	 sto = 0.500000	 rate = 1.037750
occ = 0.052441	 sto = 0.200000	 rate = 0.590750
occ = 0.052388	 sto = 0.500000	 rate = 1.124875
occ = 0.054439	 sto = 0.200000	 rate = 0.609000
occ = 0.054383	 sto = 0.500000	 rate = 1.174250
occ = 0.056436	 sto = 0.200000	 rate = 0.636000
occ = 0.056388	 sto = 0.500000	 rate = 1.116375
occ = 0.058438	 sto = 0.200000	 rate = 0.622750
occ = 0.058375	 sto = 0.500000	 rate = 1.248250
occ = 0.060428	 sto = 0.200000	 rate = 0.714125
occ = 0.060380	 sto = 0.500000	 rate = 1.203125
occ = 0.062424	 sto = 0.200000	 rate = 0.756500
occ = 0.062370	 sto = 0.500000	 rate = 1.300000
occ = 0.064430	 sto = 0.200000	 rate = 0.706000
occ = 0.064368	 sto = 0.500000	 rate = 1.323375
occ = 0.066425	 sto = 0.200000	 rate = 0.749250
occ = 0.066359	 sto = 0.500000	 rate = 1.412500
occ = 0.068421	 sto = 0.200000	 rate = 0.789375
occ = 0.068348	 sto = 0.500000	 rate = 1.520625
occ = 0.070419	 sto = 0.200000	 rate = 0.810875
occ = 0.070355	 sto = 0.500000	 rate = 1.454625
occ = 0.072412	 sto = 0.200000	 rate = 0.877375
occ = 0.072344	 sto = 0.500000	 rate = 1.558000
occ = 0.074417	 sto = 0.200000	 rate = 0.828000
occ = 0.074348	 sto = 0.500000	 rate = 1.523250
occ = 0.076412	 sto = 0.200000	 rate = 0.875500
occ = 0.076337	 sto = 0.500000	 rate = 1.631125
occ = 0.078409	 sto = 0.200000	 rate = 0.907250
occ = 0.078338	 sto = 0.500000	 rate = 1.621125
occ = 0.080403	 sto = 0.200000	 rate = 0.971125
occ = 0.080327	 sto = 0.500000	 rate = 1.727125
occ = 0.082405	 sto = 0.200000	 rate = 0.951625
occ = 0.082324	 sto = 0.500000	 rate = 1.754625
occ = 0.084405	 sto = 0.200000	 rate = 0.953375
occ = 0.084307	 sto = 0.500000	 rate = 1.925375
occ = 0.086403	 sto = 0.200000	 rate = 0.965125
occ = 0.086285	 sto = 0.500000	 rate = 2.153625
occ = 0.088400	 sto = 0.200000	 rate = 0.996375
occ = 0.088238	 sto = 0.500000	 rate = 2.616000
occ = 0.090391	 sto = 0.200000	 rate = 1.090250
occ = 0.090201	 sto = 0.500000	 rate = 2.989750
occ = 0.092394	 sto = 0.200000	 rate = 1.064750
occ = 0.092184	 sto = 0.500000	 rate = 3.164125
occ = 0.094390	 sto = 0.200000	 rate = 1.104375
occ = 0.094167	 sto = 0.500000	 rate = 3.332625
occ = 0.096393	 sto = 0.200000	 rate = 1.068250
occ = 0.096091	 sto = 0.500000	 rate = 4.091375
occ = 0.098389	 sto = 0.200000	 rate = 1.108875
occ = 0.098107	 sto = 0.500000	 rate = 3.924500
occ = 0.100389	 sto = 0.200000	 rate = 1.111250
occ = 0.100082	 sto = 0.500000	 rate = 4.176875
occ = 0.102376	 sto = 0.200000	 rate = 1.240375
occ = 0.102050	 sto = 0.500000	 rate = 4.499375
occ = 0.104375	 sto = 0.200000	 rate = 1.256375
occ = 0.104023	 sto = 0.500000	 rate = 4.767375
occ = 0.106374	 sto = 0.200000	 rate = 1.261250
occ = 0.106028	 sto = 0.500000	 rate = 4.721000
occ = 0.108379	 sto = 0.200000	 rate = 1.211000
occ = 0.108065	 sto = 0.500000	 rate = 4.350125
occ = 0.110374	 sto = 0.200000	 rate = 1.256625
occ = 0.110034	 sto = 0.500000	 rate = 4.653125
occ = 0.112372	 sto = 0.200000	 rate = 1.275750
occ = 0.112065	 sto = 0.500000	 rate = 4.346250
occ = 0.114365	 sto = 0.200000	 rate = 1.347750
occ = 0.113981	 sto = 0.500000	 rate = 5.190000
occ = 0.116366	 sto = 0.200000	 rate = 1.336625
occ = 0.116023	 sto = 0.500000	 rate = 4.773250
occ = 0.118360	 sto = 0.200000	 rate = 1.402125
occ = 0.118034	 sto = 0.500000	 rate = 4.664875
occ = 0.120348	 sto = 0.200000	 rate = 1.513000
occ = 0.120081	 sto = 0.500000	 rate = 4.185875
occ = 0.122347	 sto = 0.200000	 rate = 1.525750
occ = 0.122009	 sto = 0.500000	 rate = 4.903875
occ = 0.124332	 sto = 0.200000	 rate = 1.682250
occ = 0.124025	 sto = 0.500000	 rate = 4.747000
occ = 0.126305	 sto = 0.200000	 rate = 1.957250
occ = 0.126074	 sto = 0.500000	 rate = 4.264125
occ = 0.128294	 sto = 0.200000	 rate = 2.070750
occ = 0.128025	 sto = 0.500000	 rate = 4.755875
occ = 0.130273	 sto = 0.200000	 rate = 2.280125
occ = 0.130072	 sto = 0.500000	 rate = 4.287625
occ = 0.132257	 sto = 0.200000	 rate = 2.429500
occ = 0.132047	 sto = 0.500000	 rate = 4.531500
occ = 0.134230	 sto = 0.200000	 rate = 2.694125
occ = 0.133988	 sto = 0.500000	 rate = 5.122750
occ = 0.136216	 sto = 0.200000	 rate = 2.840000
occ = 0.136019	 sto = 0.500000	 rate = 4.810750
occ = 0.138195	 sto = 0.200000	 rate = 3.050875
occ = 0.138037	 sto = 0.500000	 rate = 4.635000
occ = 0.140150	 sto = 0.200000	 rate = 3.504625
occ = 0.140057	 sto = 0.500000	 rate = 4.430375
occ = 0.142125	 sto = 0.200000	 rate = 3.761000
occ = 0.142030	 sto = 0.500000	 rate = 4.705750
occ = 0.144133	 sto = 0.200000	 rate = 3.674625
occ = 0.144054	 sto = 0.500000	 rate = 4.457875
occ = 0.146114	 sto = 0.200000	 rate = 3.857000
occ = 0.146012	 sto = 0.500000	 rate = 4.883250
occ = 0.148102	 sto = 0.200000	 rate = 3.977000
occ = 0.147959	 sto = 0.500000	 rate = 5.406125
occ = 0.150101	 sto = 0.200000	 rate = 3.990500
occ = 0.150076	 sto = 0.500000	 rate = 4.244250
occ = 0.152083	 sto = 0.200000	 rate = 4.172625
occ = 0.152067	 sto = 0.500000	 rate = 4.337625
occ = 0.154079	 sto = 0.200000	 rate = 4.214875
occ = 0.154042	 sto = 0.500000	 rate = 4.580750
occ = 0.156053	 sto = 0.200000	 rate = 4.473000
occ = 0.156035	 sto = 0.500000	 rate = 4.643000
occ = 0.158069	 sto = 0.200000	 rate = 4.318750
occ = 0.158023	 sto = 0.500000	 rate = 4.768125
occ = 0.160052	 sto = 0.200000	 rate = 4.480500
occ = 0.160019	 sto = 0.500000	 rate = 4.816000
