p = 0.000000	 rate = 0.000016
p = 0.010000	 rate = 0.000305
p = 0.020000	 rate = 0.035857
p = 0.030000	 rate = 0.099295
p = 0.040000	 rate = 0.197594
p = 0.050000	 rate = 0.325540
p = 0.060000	 rate = 0.477040
p = 0.070000	 rate = 0.656612
p = 0.080000	 rate = 0.848252
p = 0.090000	 rate = 1.059852
p = 0.100000	 rate = 1.321484
p = 0.110000	 rate = 1.621491
p = 0.120000	 rate = 1.915774
p = 0.130000	 rate = 2.254307
p = 0.140000	 rate = 2.611414
p = 0.150000	 rate = 3.031190
p = 0.160000	 rate = 3.474773
p = 0.170000	 rate = 3.913103
p = 0.180000	 rate = 4.391914
p = 0.190000	 rate = 4.872569
p = 0.200000	 rate = 5.384191
p = 0.210000	 rate = 5.904027
p = 0.220000	 rate = 6.460431
p = 0.230000	 rate = 7.039530
p = 0.240000	 rate = 7.631925
p = 0.250000	 rate = 8.241326
p = 0.260000	 rate = 8.851369
p = 0.270000	 rate = 9.485631
p = 0.280000	 rate = 10.142972
p = 0.290000	 rate = 10.798364
p = 0.300000	 rate = 11.467201
p = 0.310000	 rate = 12.154228
p = 0.320000	 rate = 12.823670
p = 0.330000	 rate = 13.505897
p = 0.340000	 rate = 14.178948
p = 0.350000	 rate = 14.894107
p = 0.360000	 rate = 15.583045
p = 0.370000	 rate = 16.282347
p = 0.380000	 rate = 16.953858
p = 0.390000	 rate = 17.674395
p = 0.400000	 rate = 18.363114
p = 0.410000	 rate = 19.069429
p = 0.420000	 rate = 19.780694
p = 0.430000	 rate = 20.473111
p = 0.440000	 rate = 21.146309
p = 0.450000	 rate = 21.745865
p = 0.460000	 rate = 22.345371
p = 0.470000	 rate = 22.953733
p = 0.480000	 rate = 23.579283
p = 0.490000	 rate = 24.197251
p = 0.500000	 rate = 24.757743
p = 0.510000	 rate = 25.390371
p = 0.520000	 rate = 26.002615
p = 0.530000	 rate = 26.480414
p = 0.540000	 rate = 26.988262
p = 0.550000	 rate = 27.481053
p = 0.560000	 rate = 27.895158
p = 0.570000	 rate = 28.362854
p = 0.580000	 rate = 28.758284
p = 0.590000	 rate = 29.151450
p = 0.600000	 rate = 29.543899
p = 0.610000	 rate = 29.955149
p = 0.620000	 rate = 30.336187
p = 0.630000	 rate = 30.665819
p = 0.640000	 rate = 30.989058
p = 0.650000	 rate = 31.314190
p = 0.660000	 rate = 31.624018
p = 0.670000	 rate = 31.886101
p = 0.680000	 rate = 32.127875
p = 0.690000	 rate = 32.383929
p = 0.700000	 rate = 32.621916
p = 0.710000	 rate = 32.833756
p = 0.720000	 rate = 33.108607
p = 0.730000	 rate = 33.308516
p = 0.740000	 rate = 33.502570
p = 0.750000	 rate = 33.674892
p = 0.760000	 rate = 33.846568
p = 0.770000	 rate = 34.009211
p = 0.780000	 rate = 34.205306
p = 0.790000	 rate = 34.364426
p = 0.800000	 rate = 34.530004
p = 0.810000	 rate = 34.689416
p = 0.820000	 rate = 34.864416
p = 0.830000	 rate = 35.077800
p = 0.839999	 rate = 35.202158
p = 0.849999	 rate = 35.357944
p = 0.859999	 rate = 35.519699
p = 0.869999	 rate = 35.655266
p = 0.879999	 rate = 35.794660
p = 0.889999	 rate = 35.931824
p = 0.899999	 rate = 36.023969
p = 0.909999	 rate = 36.100369
p = 0.919999	 rate = 36.189535
p = 0.929999	 rate = 36.263428
p = 0.939999	 rate = 36.329304
p = 0.949999	 rate = 36.384986
p = 0.959999	 rate = 36.427005
p = 0.969999	 rate = 36.463721
p = 0.979999	 rate = 36.503675
p = 0.989999	 rate = 36.519869
p = 0.999999	 rate = 36.529180
